id,first_name,last_name,email,UserName,CompanyName,JobTitle,gender,Race,purchase,credit_card_type,date,State/Province,City,PostalCode,Country
1649,Anna,Roberts,arobertsi0@blogger.com,arobertsi0,Realfire,Design Engineer,Female,Black or African American,$706.00 ,mastercard,2/21/2018,Texas,San Antonio,78260,United States
1971,Stephen,Long,slongqy@forbes.com,slongqy,Zoomzone,Registered Nurse,Male,Costa Rican,$224.00 ,china-unionpay,2/24/2018,Florida,Pompano Beach,33075,United States
1567,George,Ryan,gryanfq@japanpost.jp,gryanfq,Trilia,Senior Developer,Male,Taiwanese,$896.00 ,jcb,2/26/2018,Wisconsin,Milwaukee,53205,United States
1170,Albert,Roberts,aroberts4p@ezinearticles.com,aroberts4p,Oyoba,Accountant I,Male,White,$79.00 ,china-unionpay,2/27/2018,Texas,El Paso,88574,United States
1436,Ashley,Wood,awoodc3@nytimes.com,awoodc3,DabZ,Sales Associate,Female,Argentinian,$91.00 ,jcb,2/28/2018,Nevada,Las Vegas,89145,United States
1783,Juan,Jones,jjoneslq@vistaprint.com,jjoneslq,Linkbuzz,Programmer III,Male,Asian,$621.00 ,diners-club-carte-blanche,3/2/2018,Arizona,Tucson,85715,United States
1001,George,Dunn,gdunn0@yellowpages.com,gdunn0,Snaptags,Database Administrator II,Male,Black or African American,$266.00 ,mastercard,3/3/2018,Texas,El Paso,88563,United States
1020,Andrea,Mason,amasonj@yelp.com,amasonj,Thoughtmix,Financial Advisor,Female,Black or African American,$783.00 ,jcb,3/3/2018,California,San Francisco,94105,United States
1235,Anna,Cox,acox6i@tripod.com,acox6i,Mynte,Nuclear Power Engineer,Female,White,$843.00 ,visa,3/4/2018,New York,Port Washington,11054,United States
1404,Ruby,Stevens,rstevensb7@fotki.com,rstevensb7,Oloo,Structural Engineer,Female,Taiwanese,$396.00 ,jcb,3/4/2018,Indiana,Evansville,47725,United States
1525,Juan,Baker,jbakerek@latimes.com,jbakerek,Teklist,GIS Technical Architect,Male,Taiwanese,$637.00 ,mastercard,3/5/2018,Texas,Houston,77276,United States
1662,Catherine,Turner,cturnerid@ycombinator.com,cturnerid,Oyoba,Biostatistician I,Female,Black or African American,$622.00 ,maestro,3/10/2018,Nebraska,Lincoln,68517,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$466.00 ,bankcard,3/11/2018,Florida,Orlando,32891,United States
1939,Brian,Kelly,bkellyq2@google.com.hk,bkellyq2,Talane,Tax Accountant,Male,Hispanic,$15.00 ,jcb,3/13/2018,New York,Brooklyn,11241,United States
1020,Andrea,Mason,amasonj@yelp.com,amasonj,Thoughtmix,Financial Advisor,Female,Black or African American,$574.00 ,jcb,3/22/2018,California,San Francisco,94105,United States
1260,Willie,King,wking77@apache.org,wking77,Innojam,Software Consultant,Male,Japanese,$778.00 ,jcb,3/22/2018,Washington,Spokane,99215,United States
1739,Karen,Bowman,kbowmanki@usda.gov,kbowmanki,Npath,Nurse,Female,Eskimo,$953.00 ,visa-electron,3/25/2018,Minnesota,Saint Paul,55146,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$511.00 ,bankcard,3/30/2018,Florida,Orlando,32891,United States
1687,Dennis,Nichols,dnicholsj2@army.mil,dnicholsj2,Jayo,Account Executive,Male,Black or African American,$591.00 ,jcb,3/30/2018,California,Los Angeles,90101,United States
1489,Roger,Matthews,rmatthewsdk@nature.com,rmatthewsdk,Dabshots,Environmental Tech,Male,Black or African American,$314.00 ,maestro,4/2/2018,Virginia,Hampton,23668,United States
1275,Anne,Fuller,afuller7m@tiny.cc,afuller7m,Voomm,Chief Design Engineer,Female,South American,$575.00 ,diners-club-carte-blanche,4/5/2018,California,Oakland,94622,United States
1468,Cynthia,Lopez,clopezcz@reverbnation.com,clopezcz,Wikibox,Automation Specialist IV,Female,White,$77.00 ,diners-club-international,4/5/2018,Louisiana,New Orleans,70116,United States
1725,Douglas,Martinez,dmartinezk4@mashable.com,dmartinezk4,Jayo,Registered Nurse,Male,Asian,$805.00 ,americanexpress,4/7/2018,Texas,Abilene,79605,United States
1810,Virginia,Alvarez,valvarezmh@pen.io,valvarezmh,Riffpath,Professor,Female,Hispanic,$207.00 ,jcb,4/9/2018,Oregon,Salem,97312,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$693.00 ,jcb,4/9/2018,Illinois,Chicago,60614,United States
1720,Frances,Mendoza,fmendozajz@washington.edu,fmendozajz,Topicware,Administrative Assistant IV,Female,Black or African American,$591.00 ,diners-club-enroute,4/11/2018,Texas,El Paso,79923,United States
1234,Adam,Jenkins,ajenkins6h@comcast.net,ajenkins6h,Brightdog,Internal Auditor,Male,White,$641.00 ,maestro,4/14/2018,Texas,Austin,78710,United States
1400,Benjamin,Moore,bmooreb3@over-blog.com,bmooreb3,Dazzlesphere,Geological Engineer,Male,Asian,$328.00 ,jcb,4/15/2018,Pennsylvania,Pittsburgh,15274,United States
1116,Christina,Wheeler,cwheeler37@ovh.net,cwheeler37,Oozz,Information Systems Manager,Female,Mexican,$402.00 ,americanexpress,4/18/2018,Georgia,Duluth,30096,United States
1999,Gerald,Jordan,gjordanrq@weibo.com,gjordanrq,Babbleopia,Tax Accountant,Male,Costa Rican,$381.00 ,jcb,4/22/2018,Georgia,Columbus,31914,United States
1163,Carl,Carroll,ccarroll4i@51.la,ccarroll4i,Vinder,Accounting Assistant I,Male,Asian,$67.00 ,jcb,4/23/2018,Texas,El Paso,88584,United States
1562,Mary,Kennedy,mkennedyfl@google.com.br,mkennedyfl,Chatterbridge,Civil Engineer,Female,Eskimo,$648.00 ,instapayment,4/23/2018,Texas,Corpus Christi,78475,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$290.00 ,bankcard,4/24/2018,Florida,Orlando,32891,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$288.00 ,jcb,4/24/2018,Illinois,Chicago,60614,United States
1277,Brandon,Spencer,bspencer7o@si.edu,bspencer7o,Quamba,Nuclear Power Engineer,Male,South American,$889.00 ,laser,4/26/2018,Ohio,Akron,44310,United States
1601,Justin,Ford,jfordgo@infoseek.co.jp,jfordgo,Skiba,Electrical Engineer,Male,Native Hawaiian and Other Pacific Islander (NHPI),$540.00 ,mastercard,4/27/2018,California,San Francisco,94110,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$311.00 ,bankcard,5/1/2018,Florida,Orlando,32891,United States
1488,Doris,Fuller,dfullerdj@etsy.com,dfullerdj,Dabjam,Account Coordinator,Female,South American,$960.00 ,jcb,5/3/2018,Florida,Tallahassee,32314,United States
1020,Andrea,Mason,amasonj@yelp.com,amasonj,Thoughtmix,Financial Advisor,Female,Black or African American,$425.00 ,jcb,5/5/2018,California,San Francisco,94105,United States
1602,Rebecca,Coleman,rcolemangp@hubpages.com,rcolemangp,Realpoint,Editor,Female,Argentinian,$998.00 ,switch,5/6/2018,California,Sacramento,95894,United States
1812,Randy,Harris,rharrismj@omniture.com,rharrismj,Pixoboo,Clinical Specialist,Male,Japanese,$477.00 ,mastercard,5/6/2018,Alabama,Birmingham,35220,United States
1434,Cynthia,Meyer,cmeyerc1@usgs.gov,cmeyerc1,Yamia,Senior Quality Engineer,Female,Asian,$127.00 ,jcb,5/8/2018,Minnesota,Minneapolis,55436,United States
1838,Paula,Burns,pburnsn9@ca.gov,pburnsn9,Vinder,Director of Sales,Female,Black or African American,$104.00 ,jcb,5/8/2018,Nevada,Las Vegas,89130,United States
1951,Anna,Owens,aowensqe@rediff.com,aowensqe,Realbridge,Editor,Female,Argentinian,$43.00 ,switch,5/8/2018,Washington,Everett,98206,United States
1433,Harry,Fernandez,hfernandezc0@redcross.org,hfernandezc0,Yadel,Director of Sales,Male,Taiwanese,$698.00 ,americanexpress,5/13/2018,District of Columbia,Washington,20420,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$292.00 ,jcb,5/13/2018,Illinois,Chicago,60614,United States
1365,Roy,Snyder,rsnydera4@whitehouse.gov,rsnydera4,Buzzshare,Help Desk Technician,Male,Mexican,$625.00 ,maestro,5/14/2018,Florida,Miami,33261,United States
1619,Kenneth,Cook,kcookh6@cocolog-nifty.com,kcookh6,Oyoloo,Financial Analyst,Male,Black or African American,$558.00 ,mastercard,5/15/2018,Texas,Garland,75044,United States
1658,Bobby,Kelly,bkellyi9@comsenz.com,bkellyi9,InnoZ,Marketing Manager,Male,Black or African American,$764.00 ,visa-electron,5/15/2018,District of Columbia,Washington,20425,United States
1433,Harry,Fernandez,hfernandezc0@redcross.org,hfernandezc0,Yadel,Director of Sales,Male,Taiwanese,$50.00 ,americanexpress,5/19/2018,District of Columbia,Washington,20420,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$931.00 ,bankcard,5/20/2018,Florida,Orlando,32891,United States
1627,Shawn,Oliver,soliverhe@youtube.com,soliverhe,Rhycero,Operator,Male,Black or African American,$380.00 ,mastercard,5/20/2018,Kentucky,Lexington,40524,United States
1671,Peter,Sanders,psandersim@uol.com.br,psandersim,Trilia,Social Worker,Male,Black or African American,$995.00 ,maestro,5/21/2018,North Carolina,Durham,27710,United States
1812,Randy,Harris,rharrismj@omniture.com,rharrismj,Pixoboo,Clinical Specialist,Male,Japanese,$887.00 ,mastercard,5/24/2018,Alabama,Birmingham,35220,United States
1654,Roy,Jenkins,rjenkinsi5@yale.edu,rjenkinsi5,Pixonyx,Assistant Manager,Male,Black or African American,$565.00 ,bankcard,5/25/2018,Texas,San Antonio,78230,United States
1164,Steve,Henderson,shenderson4j@oakley.com,shenderson4j,Npath,Clinical Specialist,Male,Asian,$396.00 ,jcb,5/29/2018,New York,New York City,10203,United States
1462,Justin,Hamilton,jhamiltonct@chron.com,jhamiltonct,Avavee,Mechanical Systems Engineer,Male,South American,$458.00 ,jcb,5/30/2018,Illinois,Schaumburg,60193,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$605.00 ,jcb,5/30/2018,Illinois,Chicago,60614,United States
1092,Donna,Hanson,dhanson2j@salon.com,dhanson2j,Linklinks,Assistant Media Planner,Female,Mexican,$568.00 ,bankcard,5/31/2018,Florida,Sarasota,34233,United States
1455,Virginia,Hamilton,vhamiltoncm@technorati.com,vhamiltoncm,Oozz,Physical Therapy Assistant,Female,Argentinian,$433.00 ,mastercard,5/31/2018,Pennsylvania,Philadelphia,19141,United States
1081,Tina,Lewis,tlewis28@mozilla.org,tlewis28,Eazzy,Operator,Female,Mexican,$767.00 ,switch,6/2/2018,Ohio,Dayton,45426,United States
1520,Heather,Walker,hwalkeref@deviantart.com,hwalkeref,Dabfeed,Marketing Manager,Female,Thai,$456.00 ,jcb,6/3/2018,California,San Francisco,94110,United States
1650,Ann,Ward,awardi1@oaic.gov.au,awardi1,Trilith,Recruiter,Female,Black or African American,$280.00 ,switch,6/5/2018,Oregon,Portland,97221,United States
1043,Walter,Roberts,wroberts16@tiny.cc,wroberts16,Rhyloo,Senior Quality Engineer,Male,Black or African American,$442.00 ,china-unionpay,6/8/2018,Nevada,Las Vegas,89140,United States
1095,Emily,Franklin,efranklin2m@google.co.jp,efranklin2m,Shufflester,Analyst Programmer,Female,Mexican,$701.00 ,mastercard,6/9/2018,Texas,Houston,77040,United States
1116,Christina,Wheeler,cwheeler37@ovh.net,cwheeler37,Oozz,Information Systems Manager,Female,Mexican,$388.00 ,americanexpress,6/10/2018,Georgia,Duluth,30096,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$91.00 ,bankcard,6/10/2018,Florida,Orlando,32891,United States
1989,Chris,Adams,cadamsrg@amazon.com,cadamsrg,Livefish,Analyst Programmer,Male,White,$452.00 ,jcb,6/11/2018,Texas,Humble,77346,United States
1995,Teresa,Mcdonald,tmcdonaldrm@elegantthemes.com,tmcdonaldrm,Linktype,Accounting Assistant IV,Female,White,$719.00 ,mastercard,6/11/2018,Tennessee,Knoxville,37939,United States
1212,Patricia,Weaver,pweaver5v@merriam-webster.com,pweaver5v,Dablist,Staff Accountant I,Female,White,$110.00 ,mastercard,6/12/2018,Connecticut,Hartford,6183,United States
1683,Anthony,Clark,aclarkiy@alibaba.com,aclarkiy,Bubblemix,Staff Accountant I,Male,Black or African American,$621.00 ,diners-club-carte-blanche,6/12/2018,Louisiana,New Orleans,70124,United States
1260,Willie,King,wking77@apache.org,wking77,Innojam,Software Consultant,Male,Japanese,$511.00 ,jcb,6/13/2018,Washington,Spokane,99215,United States
1844,Amy,Peterson,apetersonnf@cdbaby.com,apetersonnf,Feednation,Senior Sales Associate,Female,Taiwanese,$437.00 ,china-unionpay,6/14/2018,Illinois,Springfield,62723,United States
1095,Emily,Franklin,efranklin2m@google.co.jp,efranklin2m,Shufflester,Analyst Programmer,Female,Mexican,$324.00 ,mastercard,6/17/2018,Texas,Houston,77040,United States
1023,Antonio,Owens,aowensm@indiatimes.com,aowensm,Npath,Design Engineer,Male,Black or African American,$344.00 ,jcb,6/19/2018,Ohio,Columbus,43210,United States
1170,Albert,Roberts,aroberts4p@ezinearticles.com,aroberts4p,Oyoba,Accountant I,Male,White,$712.00 ,china-unionpay,6/19/2018,Texas,El Paso,88574,United States
1543,Scott,Reyes,sreyesf2@statcounter.com,sreyesf2,Mymm,Administrative Assistant IV,Male,Thai,$916.00 ,china-unionpay,6/19/2018,New Mexico,Albuquerque,87180,United States
1020,Andrea,Mason,amasonj@yelp.com,amasonj,Thoughtmix,Financial Advisor,Female,Black or African American,$757.00 ,jcb,6/21/2018,California,San Francisco,94105,United States
1277,Brandon,Spencer,bspencer7o@si.edu,bspencer7o,Quamba,Nuclear Power Engineer,Male,South American,$632.00 ,laser,6/23/2018,Ohio,Akron,44310,United States
1358,Charles,Smith,csmith9x@trellian.com,csmith9x,Eamia,Payment Adjustment Coordinator,Male,Asian,$825.00 ,jcb,6/23/2018,District of Columbia,Washington,20310,United States
1022,Todd,Peters,tpetersl@dot.gov,tpetersl,Quatz,Design Engineer,Male,Black or African American,$820.00 ,jcb,6/28/2018,District of Columbia,Washington,20430,United States
1092,Donna,Hanson,dhanson2j@salon.com,dhanson2j,Linklinks,Assistant Media Planner,Female,Mexican,$451.00 ,bankcard,6/30/2018,Florida,Sarasota,34233,United States
1032,Gerald,Owens,gowensv@biglobe.ne.jp,gowensv,Trilith,Environmental Tech,Male,Black or African American,$140.00 ,americanexpress,7/1/2018,Pennsylvania,Philadelphia,19104,United States
1880,Rebecca,Lawson,rlawsonof@nsw.gov.au,rlawsonof,Rhynyx,Software Engineer I,Female,Taiwanese,$725.00 ,jcb,7/3/2018,Illinois,Chicago,60614,United States
1468,Cynthia,Lopez,clopezcz@reverbnation.com,clopezcz,Wikibox,Automation Specialist IV,Female,White,$952.00 ,diners-club-international,7/4/2018,Louisiana,New Orleans,70116,United States
1781,Fred,Gonzalez,fgonzalezlo@alibaba.com,fgonzalezlo,Brightbean,Senior Financial Analyst,Male,Asian,$665.00 ,jcb,7/5/2018,District of Columbia,Washington,20238,United States
1851,Linda,Washington,lwashingtonnm@jalbum.net,lwashingtonnm,Tazzy,Teacher,Female,White,$71.00 ,bankcard,7/5/2018,New York,Brooklyn,11210,United States
1547,Chris,Martin,cmartinf6@yahoo.co.jp,cmartinf6,Mycat,Accountant I,Male,Black or African American,$685.00 ,mastercard,7/7/2018,Michigan,Detroit,48275,United States
1012,Fred,Harrison,fharrisonb@sfgate.com,fharrisonb,Twitterbridge,Staff Scientist,Male,Black or African American,$463.00 ,mastercard,7/11/2018,Texas,Irving,75037,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$394.00 ,bankcard,7/12/2018,Florida,Orlando,32891,United States
1983,Laura,Smith,lsmithra@thetimes.co.uk,lsmithra,Quimm,Electrical Engineer,Female,White,$322.00 ,jcb,7/13/2018,Kansas,Kansas City,66112,United States
1587,Bobby,Hudson,bhudsonga@nydailynews.com,bhudsonga,Kare,Marketing Assistant,Male,Eskimo,$114.00 ,jcb,7/14/2018,California,Los Angeles,90025,United States
1991,Diane,Scott,dscottri@ask.com,dscottri,Zoomlounge,Librarian,Female,White,$655.00 ,jcb,7/14/2018,New Mexico,Albuquerque,87180,United States
1043,Walter,Roberts,wroberts16@tiny.cc,wroberts16,Rhyloo,Senior Quality Engineer,Male,Black or African American,$550.00 ,china-unionpay,7/16/2018,Nevada,Las Vegas,89140,United States
1722,Sean,Armstrong,sarmstrongk1@tinyurl.com,sarmstrongk1,Fliptune,Web Developer I,Male,Black or African American,$646.00 ,switch,7/16/2018,Colorado,Arvada,80005,United States
1020,Andrea,Mason,amasonj@yelp.com,amasonj,Thoughtmix,Financial Advisor,Female,Black or African American,$345.00 ,jcb,7/18/2018,California,San Francisco,94105,United States
1081,Tina,Lewis,tlewis28@mozilla.org,tlewis28,Eazzy,Operator,Female,Mexican,$969.00 ,switch,7/18/2018,Ohio,Dayton,45426,United States
1092,Donna,Hanson,dhanson2j@salon.com,dhanson2j,Linklinks,Assistant Media Planner,Female,Mexican,$639.00 ,bankcard,7/19/2018,Florida,Sarasota,34233,United States
1460,Sara,Oliver,solivercr@accuweather.com,solivercr,Centidel,Payment Adjustment Coordinator,Female,Hispanic,$505.00 ,switch,7/19/2018,Illinois,Springfield,62723,United States
1123,Randy,Hamilton,rhamilton3e@loc.gov,rhamilton3e,Centidel,Geological Engineer,Male,Mexican,$180.00 ,china-unionpay,7/20/2018,Florida,Tampa,33673,United States
1615,Shirley,Matthews,smatthewsh2@gizmodo.com,smatthewsh2,Lajo,Human Resources Assistant III,Female,South American,$217.00 ,americanexpress,7/20/2018,Nevada,Las Vegas,89160,United States
1742,Tina,Lawson,tlawsonkl@paypal.com,tlawsonkl,Skyble,Product Engineer,Female,Japanese,$926.00 ,bankcard,7/24/2018,Texas,San Antonio,78215,United States
1841,Ann,Watkins,awatkinsnc@mail.ru,awatkinsnc,Dazzlesphere,Financial Analyst,Female,Alaska Native,$800.00 ,jcb,7/24/2018,Colorado,Denver,80228,United States
1437,Wayne,Willis,wwillisc4@phoca.cz,wwillisc4,Ntag,Software Consultant,Male,Argentinian,$33.00 ,jcb,7/25/2018,Nevada,Reno,89505,United States
1277,Brandon,Spencer,bspencer7o@si.edu,bspencer7o,Quamba,Nuclear Power Engineer,Male,South American,$93.00 ,laser,7/26/2018,Ohio,Akron,44310,United States
1028,Diana,Burke,dburker@amazon.co.uk,dburker,Skinte,Nuclear Power Engineer,Female,Black or African American,$598.00 ,diners-club-carte-blanche,7/27/2018,Texas,Midland,79705,United States
1116,Christina,Wheeler,cwheeler37@ovh.net,cwheeler37,Oozz,Information Systems Manager,Female,Mexican,$966.00 ,americanexpress,7/29/2018,Georgia,Duluth,30096,United States
1851,Linda,Washington,lwashingtonnm@jalbum.net,lwashingtonnm,Tazzy,Teacher,Female,White,$912.00 ,bankcard,7/29/2018,New York,Brooklyn,11210,United States
1950,Ashley,Ramos,aramosqd@sun.com,aramosqd,Tambee,Media Manager IV,Female,Costa Rican,$271.00 ,laser,7/31/2018,Florida,Clearwater,33763,United States
1839,Brenda,Montgomery,bmontgomeryna@vistaprint.com,bmontgomeryna,Eayo,Technical Writer,Female,Black or African American,$936.00 ,jcb,8/1/2018,Pennsylvania,Erie,16510,United States
1017,Diana,Wells,dwellsg@vimeo.com,dwellsg,Twitterbeat,Editor,Female,Black or African American,$776.00 ,jcb,8/2/2018,Illinois,Chicago,60663,United States
1298,Anna,Thomas,athomas89@usa.gov,athomas89,Linkbuzz,Food Chemist,Female,Japanese,$303.00 ,bankcard,8/4/2018,Florida,Orlando,32891,United States
1234,Adam,Jenkins,ajenkins6h@comcast.net,ajenkins6h,Brightdog,Internal Auditor,Male,White,$185.00 ,maestro,8/5/2018,Texas,Austin,78710,United States
1710,Deborah,Webb,dwebbjp@walmart.com,dwebbjp,Riffpath,Business Systems Development Analyst,Female,Black or African American,$865.00 ,switch,8/6/2018,Kentucky,Louisville,40293,United States
1489,Roger,Matthews,rmatthewsdk@nature.com,rmatthewsdk,Dabshots,Environmental Tech,Male,Black or African American,$934.00 ,maestro,8/7/2018,Virginia,Hampton,23668,United States
1851,Linda,Washington,lwashingtonnm@jalbum.net,lwashingtonnm,Tazzy,Teacher,Female,White,$367.00 ,bankcard,8/9/2018,New York,Brooklyn,11210,United States
1851,Linda,Washington,lwashingtonnm@jalbum.net,lwashingtonnm,Tazzy,Teacher,Female,White,$262.00 ,bankcard,8/15/2018,New York,Brooklyn,11210,United States
1024,Martha,Shaw,mshawn@netscape.com,mshawn,Voolia,Research Assistant I,Female,Black or African American,$533.00 ,diners-club-us-ca,8/16/2018,Connecticut,Hartford,6145,United States
1170,Albert,Roberts,aroberts4p@ezinearticles.com,aroberts4p,Oyoba,Accountant I,Male,White,$281.00 ,china-unionpay,8/16/2018,Texas,El Paso,88574,United States
1074,Howard,Moore,hmoore21@bizjournals.com,hmoore21,Ainyx,Senior Developer,Male,Mexican,$202.00 ,mastercard,8/17/2018,Florida,Orlando,32803,United States
